n_parties,p2,fid
4,0.001,0.9790043276508988
4,0.003,0.940053665595014
4,0.005,0.9030203415525005
6,0.001,0.9655618941754829
6,0.003,0.8998249842451892
6,0.005,0.8378204456847739
8,0.001,0.9513992607888848
8,0.003,0.8598088988754452
8,0.005,0.7792033514085176
10,0.001,0.9365539940772011
10,0.003,0.8217220371949204
10,0.005,0.7250375895890507
12,0.001,0.923760767794134
12,0.003,0.7877551095682676
12,0.005,0.6723647182209552
